label,clean_text,word_count,prop_count,noun_count,adj_count,verb_count,stop_count
1,can iran s president be arrest when he land in switzerland may be because,14,3,1,0,2,8
1,donald trump call megyn kelly big loser after she comment on his age,13,2,3,1,2,4
1,we eu dislike cop28 draft san fossil fuel deal far away from what,13,3,4,0,1,3
1,watch people force to evacuate from plane at stockholm airport,10,2,2,0,3,3
1,rishi sunak s eat out scheme lead to more covid case in uk he say no proof,17,3,3,1,3,6
1,bear attack on citizen be increase in japan expert explain why,11,1,3,0,3,4
1,all about lead covid 19 variant hv 1 eg 5 and other spread wing in we,16,2,3,1,2,6
1,tennessee tornado aftermath lifeless toddler find in dead mother s arm,11,4,3,1,1,1
1,singapore say remain vigilant and on high alert as covid case spike,12,1,2,4,2,3
1,ukraine s zelensky in we last ditch plea for aid address to military,13,2,6,1,0,5
1,huge upset for prince harry duke of sussex order to pay mail nearly 50 000,15,3,3,1,2,3
2,tanker driver hold for illegally ferry 28k litre of diesel worth 26 32 lakh,14,1,5,1,2,2
2,six hold from gujarat for loot 4 05 cr from south mumbai establishment,13,2,3,0,2,4
2,mephedrone worth 325 cr seize in raigad since dec 8,10,2,2,1,1,2
2,cricketer poonam raut s mother lose 1 lakh in cyber fraud police launch probe,14,3,6,0,2,1
2,flamingo rescue from creek in mumbai,6,1,2,0,1,2
2,centre ready to buy unsold onion say fadnavis amid protest in maharashtra against export ban,15,0,7,2,2,3
2,two hold five absconding in murder of minor,8,0,3,0,1,4
2,thane collector seek report on kalyan dombivli urbanisation water need,10,3,5,0,1,1
2,vashi doctor perform record 287 robotic knee surgery in 17 month,11,1,4,1,2,1
2,bjp mla warn of agitation if nmmc pay 1400 cr for rly project,13,2,4,1,2,3
2,56 rise in cyber crime this year in navi mumbai,10,0,6,0,0,3
2,mumbai businessman hold hostage in his house 55 crore loot,10,0,5,0,2,2
2,derail wagon of good train remove from kasara accident spot restoration work underway,13,2,6,0,2,2
2,maharashtra move mixer truck catch fire on borivali western express highway driver injure,13,4,5,0,3,1
2,customs bust smuggling operation at mumbai airport gold worth 1 21 crore seize,13,1,7,1,1,1
2,bombay high court reject custody plea of father over anger issue,11,2,6,0,1,2
2,around 1 600 city school still wait for implementation of attendance bot,12,0,5,0,1,4
2,good lay out detailed plan to procure 10 662 bus by 2025,12,0,2,2,2,3
2,mumbai police counsel war couple resolve 54 dispute this year,10,0,5,0,3,1
2,tense year end hectic new year ahead,7,0,2,3,1,0
2,pawar s 83rd birthday to be celebrate in nagpur mark first public event after defeat in election,17,0,5,4,2,6
2,four bangladeshi immigrant arrest in mumbai navi mumbai,8,0,5,0,1,2
2,disha salian case indication of sit inquiry out of bjp s fear say aaditya thackeray,15,5,4,2,1,3
2,commuter woes sour karjat kasara residents dream,7,5,0,1,1,0
2,dmer propose waive 20 lakh penalty for resident doctor leave seat due to mental health,15,1,5,2,3,3
2,no egg in school midday meal bjp sena spiritual cell warn cm,12,2,6,1,1,2
2,mbvv police bust sex trade racket and human trafficking ring rescue 17 year old,14,0,9,3,0,1
2,sp mla demand scrap of govt s love jihad committee,10,4,2,0,2,1
2,5 include family of four book for defraud 40 hajj pilgrim of 24l,13,1,3,0,3,4
3,kevin costner find love in jewel month after divorce here s how,12,2,4,0,2,4
3,bobby deol reveal animal s viral jamal kudu dance scene be his idea,13,0,6,3,1,2
3,who like be single we be sure that britney spear doesn t,12,2,1,2,2,5
3,golden globe 2024 nomination barbie and oppenheimer dominate see full list,11,0,6,2,1,3
3,randeep hooda wear black lin laishram stun in red at reception in mumbai,13,3,5,0,2,3
3,bts jin call namjoon and taehyung his baby leave netizen in tear,12,2,3,0,3,3
3,bts jimin debuts shave head on last live fan say go and come back safe,15,3,2,3,4,6
3,dunki drop 5 o maahi shah rukh khan taapsee pannu s love grow amid sand dune,16,8,5,0,1,0
3,venkatesh visit kanaka durga temple and babai hotel in vijayawada see pic,12,4,3,1,2,3
3,cardi b confirm breakup from offset reveal she s single during live,12,2,2,3,2,3
3,demon slayer season 4 to kick off with an hour long premiere what to know,15,1,3,0,3,6
3,trisha to make telugu comeback with chiranjeevi and nagarjuna film report,11,1,5,1,1,4
3,bianca censori don sheer bodysuit face christmas snub from kanye s kid,12,5,3,1,2,1
3,bt all 7 member pose together for pic ahead of v rm s military enlistment,15,2,3,1,2,4
3,anurag kashyap say more people be teach feminism because of animal,11,2,3,1,2,4
3,shilpa shetty sonali bendre raveena party at gayatri joshi s stun new home,13,8,2,1,1,1
3,samantha venture into production announce mtv hustle namma pettai,9,4,3,0,1,1
3,ananya panday say she pay for her sister s tuition with her first paycheck,14,2,3,1,2,6
3,allu arjun review hi nanna a sweet warm and heart touch film,12,1,3,2,3,2
3,cardi b steal the show at tiktok s in the mix global music event in arizona,16,3,6,1,1,6
3,animal worldwide box office collection day 10 ranbir film enter 700 cr club,13,2,7,0,1,0
3,joe manganiello make red carpet debut with caitlin after sof a vergara split,13,4,3,1,2,3
3,kwk aditya roy kapur choose between ananya panday and ex shraddha kapoor,12,9,0,0,1,2
3,don palathara on family I always look at this story as a horror story,14,2,4,0,1,7
3,allu arjun mahesh babu prabhas meet netflix ceo ted sarando,10,9,1,0,0,0
3,when anushka reveal how she manage to keep her wedding with virat a secret,14,1,3,0,3,8
3,rgv react to vidyut jammwal s nude pic you be truly look like greek god,15,4,2,2,2,3
3,karan johar have no hollywood dream my heart be in my country,12,2,3,0,2,6
3,amitabh bachchan meet fan outside his mumbai home with agastya nanda see pic,13,4,3,0,2,3
5,weight loss from eli lilly s zepbound reverse slowly after treatment stop,12,3,4,0,2,2
5,mango pickle to dhaniya panjiri top 10 most search recipe in india,12,2,2,2,2,4
5,universal health coverage day 2023 date theme history and significance,10,0,7,1,0,1
5,fight high cholesterol 11 lifestyle change to control cholesterol in winter,11,0,5,1,2,2
5,7 practical way to stick to your new year resolution in 2024,12,0,3,2,1,4
5,covid virus can persist in lung for up to two year study,12,0,4,1,1,6
5,happiness mantra decode 8 daily habit that make you happy and content,12,1,3,2,2,4
5,dog go for the traditional look at lago dog festival,10,0,5,1,1,4
5,ananya panday dazzle in a lace dress for kho gaye hum kahan trailer launch,14,4,6,1,0,3
5,loss of appetite can indicate these 5 serious health issue,10,0,4,1,1,4
5,ht city delhi junction catch it live on december 11,10,2,3,0,1,2
5,katrina kaif show how to layer up for winter with her effortless airport fit,14,2,4,0,2,6
5,horoscope today astrological prediction for december 11 2023,8,1,3,1,0,1
5,tasty and easy to make cookie for your pre christmas craving,11,1,2,3,1,5
5,good book of 2023 here s what you should read before the year end,14,0,2,1,3,7
5,international mountain day 2023 know the date theme history and significance,11,0,6,1,1,2
5,find the right person 4 way to know if your partner be serious about you,15,0,3,2,2,8
5,personalise decor creative idea to add unique touch to your home interior,12,0,4,3,2,3
5,can own a cat increase risk of schizophrenia here s what a study say,14,0,5,0,3,6
5,international mountain day 2023 health benefit of hiking and mountain climbing,11,0,7,1,0,2
5,winter holiday travel plan 5 family friendly eco adventure in singapore,11,1,7,1,0,1
5,visit italy check out this prison bakery in ancient roman city of pompeii,13,1,4,2,2,4
5,yokohama unveil plan to boost tourism through sustainability and innovation,10,1,3,0,3,3
5,indonesia s prambanan temple testimony to india s tie with south east asia,13,7,2,0,0,2
5,mooli for weight loss and immunity 7 benefit 7 tasty way to eat radish,14,0,7,1,1,3
5,we approve crispr gene edit to treat sickle cell disease,10,0,4,1,3,2
5,sleep deprivation and vertigo here s how lack of sleep can impact balance,13,0,5,1,2,5
5,samantha ruth prabhu s sultry twist to denim look leave the internet swoon,13,3,3,0,4,2
